,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
18,MZ268405.1,MZ268405.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/Camel/Kenya/HKU-CAC10200/2020, complete genome",19-Mar-2020,['Kenya'],30106,Camelus dromedarius,312.0,9.75
19,MZ268404.1,MZ268404.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/Camel/Ethiopia/HKU-CAC9690/2019, complete genome",24-Nov-2019,['Ethiopia'],30094,Camelus dromedarius,312.0,9.75
20,OK573213.1,OK573213.1,UNVERIFIED: Middle East respiratory syndrome-related coronavirus FDA:FDAARGOS_849 genomic sequence,30-JUL-2022,['USA: MD'],30116,Homo sapiens,324.0,9.818181818181818
21,OK572989.1,OK572989.1,UNVERIFIED: Middle East respiratory syndrome-related coronavirus FDA:FDAARGOS_1162 genomic sequence,30-JUL-2022,,29154,,220.0,10.0
22,ON325306.1,ON325306.1,"Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/P.nathusii/Russia/MOW15-22/2015, complete genome",15-Aug-2015,['Russia'],30257,Pipistrellus nathusii,522.0,9.49090909090909
23,ON325307.1,ON325307.1,"Middle East respiratory syndrome-related coronavirus isolate BatCoV/V.murinus/Switzerland/2020, complete genome",2020,['Switzerland'],30047,Vespertilio murinus,536.0,9.925925925925926
24,ON378807.1,ON378807.1,"MAG: Middle East respiratory syndrome-related coronavirus isolate BatCoV_B20-180, complete genome",21-Sep-2020,['South Korea'],30110,Rhinolophus ferrumequinum,330.0,9.705882352941176
25,OL622036.1,OL622036.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV_Dammam_2019, complete genome",03-Apr-2019,['Saudi Arabia: Dammam'],29994,Homo sapiens,312.0,9.75
26,OL622035.1,OL622035.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV_Riyadh_2016, complete genome",03-Jan-2017,['Saudi Arabia: Riyadh'],29994,Homo sapiens,312.0,9.75
27,MW545528.1,MW545528.1,"Middle East respiratory syndrome-related coronavirus isolate D1189.6, complete genome",2015,['United Arab Emirates'],30103,Camelus dromedarius,302.0,9.741935483870968
28,MW545527.1,MW545527.1,"Middle East respiratory syndrome-related coronavirus isolate D1189.5, complete genome",2015,['United Arab Emirates'],30103,Camelus dromedarius,324.0,9.818181818181818
29,MT226607.1,MT226607.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/1290, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
30,MT226606.1,MT226606.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/228, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
31,MT226605.1,MT226605.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/227, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,306.0,9.870967741935484
32,MT226604.1,MT226604.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/B5-02, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
33,MT226603.1,MT226603.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/219, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
34,MT226602.1,MT226602.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/211, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
35,MT226601.1,MT226601.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/B5/02, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,306.0,9.870967741935484
36,MT226600.1,MT226600.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/B8-03, complete genome",01-Feb-2017,['Saudi Arabia'],30118,Camelus dromedarius,324.0,9.818181818181818
37,MT361640.1,MT361640.1,"Mutant Middle East respiratory syndrome-related coronavirus clone MERS-CoV YKC, complete genome",11-JAN-2021,,30136,,324.0,9.818181818181818
38,MN758614.1,MN758614.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-N/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,278.0,9.586206896551724
39,MN758613.1,MN758613.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-G/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,278.0,9.586206896551724
40,MN758612.1,MN758612.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-M/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
41,MN758611.1,MN758611.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-J/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
42,MN758610.1,MN758610.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-O/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
43,MN758609.1,MN758609.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-K/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
44,MN758608.1,MN758608.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-R/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
45,MN758607.1,MN758607.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-P/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
46,MN758606.1,MN758606.1,"Middle East respiratory syndrome-related coronavirus isolate camel/KFU-HKU-I/2017, complete genome",2017,['Saudi Arabia'],30089,Camelus dromedarius,266.0,9.5
47,MN655017.1,MN655017.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2117/2016, complete genome",Mar-2016,['Saudi Arabia'],29998,Camelus dromedarius,324.0,9.818181818181818
48,MN655016.1,MN655016.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1997/2015, complete genome",Nov-2015,['Saudi Arabia'],29992,Camelus dromedarius,278.0,9.586206896551724
49,MN655015.1,MN655015.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1954, complete genome",17-DEC-2020,['Saudi Arabia'],30000,Camelus dromedarius,324.0,9.818181818181818
50,MN655014.1,MN655014.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1948, complete genome",17-DEC-2020,['Saudi Arabia'],30108,Camelus dromedarius,324.0,9.818181818181818
51,MN655013.1,MN655013.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2575, complete genome",17-DEC-2020,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
52,MN655012.1,MN655012.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2685/2017, complete genome",May-2017,['Saudi Arabia'],30001,Camelus dromedarius,324.0,9.818181818181818
53,MN655011.1,MN655011.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2205/2016, complete genome",Jun-2016,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
54,MN655010.1,MN655010.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2673/2017, complete genome",May-2017,['Saudi Arabia'],30004,Camelus dromedarius,306.0,9.870967741935484
55,MN655009.1,MN655009.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4104/2017, complete genome",Dec-2017,['Saudi Arabia'],30113,Camelus dromedarius,278.0,9.586206896551724
56,MN655008.1,MN655008.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2696/2017, complete genome",May-2017,['Saudi Arabia'],30111,Camelus dromedarius,324.0,9.818181818181818
57,MN655007.1,MN655007.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1940, complete genome",17-DEC-2020,['Saudi Arabia'],30006,Camelus dromedarius,306.0,9.870967741935484
58,MN655006.1,MN655006.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4566/2018, complete genome",07-Mar-2018,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
59,MN655005.1,MN655005.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4068/2017, complete genome",Dec-2017,['Saudi Arabia'],30111,Camelus dromedarius,278.0,9.586206896551724
60,MN655004.1,MN655004.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4554, complete genome",17-DEC-2020,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
61,MN655003.1,MN655003.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2679/2017, complete genome",May-2017,['Saudi Arabia'],30004,Camelus dromedarius,306.0,9.870967741935484
62,MN655002.1,MN655002.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2677/2017, complete genome",May-2017,['Saudi Arabia'],30003,Camelus dromedarius,306.0,9.870967741935484
63,MN655001.1,MN655001.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4765/2018, complete genome",02-Apr-2018,['Saudi Arabia'],30112,Camelus dromedarius,312.0,9.75
64,MN655000.1,MN655000.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2626/2017, complete genome",Feb-2017,['Saudi Arabia'],30004,Camelus dromedarius,312.0,9.75
65,MN654999.1,MN654999.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4116/2017, complete genome",Dec-2017,['Saudi Arabia'],30113,Camelus dromedarius,278.0,9.586206896551724
66,MN654998.1,MN654998.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2675/2017, complete genome",May-2017,['Saudi Arabia'],30004,Camelus dromedarius,306.0,9.870967741935484
67,MN654997.1,MN654997.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4809, complete genome",17-DEC-2020,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
68,MN654996.1,MN654996.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2159/2016, complete genome",Apr-2016,['Saudi Arabia'],30006,Camelus dromedarius,324.0,9.818181818181818
69,MN654995.1,MN654995.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4586/2018, complete genome",07-Mar-2018,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
70,MN654994.1,MN654994.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA3228/2017, complete genome",Apr-2017,['Saudi Arabia'],30048,Camelus dromedarius,324.0,9.818181818181818
71,MN654993.1,MN654993.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1950, complete genome",17-DEC-2020,['Saudi Arabia'],30000,Camelus dromedarius,324.0,9.818181818181818
72,MN654992.1,MN654992.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2247/2016, complete genome",Jul-2016,['Saudi Arabia'],30101,Camelus dromedarius,324.0,9.818181818181818
73,MN654991.1,MN654991.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1989/2015, complete genome",Nov-2015,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
74,MN654990.1,MN654990.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4535, complete genome",17-DEC-2020,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
75,MN654989.1,MN654989.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2579/2017, complete genome",Jan-2017,['Saudi Arabia'],30111,Camelus dromedarius,324.0,9.818181818181818
76,MN654988.1,MN654988.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1946, complete genome",17-DEC-2020,['Saudi Arabia'],30111,Camelus dromedarius,324.0,9.818181818181818
77,MN654987.1,MN654987.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2687/2017, complete genome",May-2017,['Saudi Arabia'],30000,Camelus dromedarius,324.0,9.818181818181818
78,MN654986.1,MN654986.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2691/2017, complete genome",May-2017,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
79,MN654985.1,MN654985.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1944, complete genome",17-DEC-2020,['Saudi Arabia'],30004,Camelus dromedarius,306.0,9.870967741935484
80,MN654984.1,MN654984.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4819, complete genome",17-DEC-2020,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
81,MN654983.1,MN654983.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4047/2017, complete genome",Dec-2017,['Saudi Arabia'],30112,Camelus dromedarius,278.0,9.586206896551724
82,MN654982.1,MN654982.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2557/2017, complete genome",Jan-2017,['Saudi Arabia'],30004,Camelus dromedarius,312.0,9.75
83,MN654981.1,MN654981.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1962, complete genome",17-DEC-2020,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
84,MN654980.1,MN654980.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2108/2016, complete genome",Mar-2016,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
85,MN654979.1,MN654979.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2681/2017, complete genome",May-2017,['Saudi Arabia'],30000,Camelus dromedarius,324.0,9.818181818181818
86,MN654978.1,MN654978.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2199/2016, complete genome",Jun-2016,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
87,MN654977.1,MN654977.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2689/2017, complete genome",May-2017,['Saudi Arabia'],30097,Camelus dromedarius,324.0,9.818181818181818
88,MN654976.1,MN654976.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA4839, complete genome",17-DEC-2020,['Saudi Arabia'],30111,Camelus dromedarius,324.0,9.818181818181818
89,MN654975.1,MN654975.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2407/2016, complete genome",Jul-2016,['Saudi Arabia'],30111,Camelus dromedarius,324.0,9.818181818181818
90,MN654974.1,MN654974.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2697/2017, complete genome",May-2017,['Saudi Arabia'],30010,Camelus dromedarius,324.0,9.818181818181818
91,MN654973.1,MN654973.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA1983/2015, complete genome",Nov-2015,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
92,MN654972.1,MN654972.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2196/2016, complete genome",Jun-2016,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
93,MN654971.1,MN654971.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2097/2015, complete genome",Dec-2015,['Saudi Arabia'],30112,Camelus dromedarius,324.0,9.818181818181818
94,MN654970.1,MN654970.1,"Middle East respiratory syndrome-related coronavirus isolate Al-Hasa-SA2408/2016, complete genome",Jul-2016,['Saudi Arabia'],30004,Camelus dromedarius,324.0,9.818181818181818
95,MW086539.1,MW086539.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC33/Ramtha, complete genome",May-2016,['Jordan'],29815,Camelus dromedarius,310.0,10.0
96,MW086538.1,MW086538.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC44/Ramtha, complete genome",May-2016,['Jordan'],29825,Camelus dromedarius,310.0,10.0
97,MW086535.1,MW086535.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC32/Ramtha, complete genome",May-2016,['Jordan'],29825,Camelus dromedarius,310.0,10.0
98,MW086534.1,MW086534.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC31/Ramtha, complete genome",May-2016,['Jordan'],29826,Camelus dromedarius,310.0,10.0
99,MW086533.1,MW086533.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC37/Ramtha, complete genome",May-2016,['Jordan'],29819,Camelus dromedarius,310.0,10.0
100,MW086532.1,MW086532.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC30/Ramtha, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
101,MW086531.1,MW086531.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC26/Ramtha, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
102,MW086530.1,MW086530.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC27/Ramtha, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
103,MW086529.1,MW086529.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC28/Ramtha, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
104,MW086528.1,MW086528.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC25/Ramtha, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
105,MW086527.1,MW086527.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/JC17/Azraq, complete genome",May-2016,['Jordan'],29786,Camelus dromedarius,310.0,10.0
106,KU740200.1,KU740200.1,"Middle East respiratory syndrome-related coronavirus isolate MERS CoV/camel/Egypt/NRCE-NC163/2014, partial genome",17-Dec-2014,['Egypt'],29949,Camelus dromedarius,324.0,9.818181818181818
107,NC_019843.3,NC_019843.3,"Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",13-Jun-2012,,30119,Homo sapiens,324.0,9.818181818181818
108,MT675269.1,MT675269.1,"Middle East respiratory syndrome-related coronavirus isolate 16025_13 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",02-Mar-2015,['Saudi Arabia: Riyadh'],29894,Homo sapiens,324.0,9.818181818181818
109,MT675266.1,MT675266.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_21 ORF1ab and ORF1a genes, partial cds; S protein, ORF3, ORF4a, ORF4b, and ORF5 genes, complete cds; E protein and M protein genes, partial cds; and N protein and ORF8b genes, complete cds",09-Mar-2015,['Saudi Arabia: Riyadh'],29200,Homo sapiens,246.0,9.84
110,MT675265.1,MT675265.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_20 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",08-Mar-2015,['Saudi Arabia: Riyadh'],29989,Homo sapiens,324.0,9.818181818181818
111,MT675263.1,MT675263.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_18 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",04-Mar-2015,['Saudi Arabia: Riyadh'],29755,Homo sapiens,324.0,9.818181818181818
112,MT675262.1,MT675262.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_17 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",04-Mar-2015,['Saudi Arabia: Riyadh'],30027,Homo sapiens,324.0,9.818181818181818
113,MT675261.1,MT675261.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_16 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",03-Mar-2015,['Saudi Arabia: Riyadh'],30028,Homo sapiens,324.0,9.818181818181818
114,MT675260.1,MT675260.1,"Middle East respiratory syndrome-related coronavirus isolate 16024_15 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",03-Mar-2015,['Saudi Arabia: Riyadh'],30118,Homo sapiens,324.0,9.818181818181818
115,MT675259.1,MT675259.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_7 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, and E protein genes, complete cds; M protein gene, partial cds; and N protein and ORF8b genes, complete cds",28-Feb-2015,['Saudi Arabia: Riyadh'],29898,Homo sapiens,324.0,9.818181818181818
116,MT675258.1,MT675258.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_6 ORF1ab and ORF1a genes, partial cds; S protein, ORF3, ORF4a, and ORF4b genes, complete cds; ORF5 and M protein genes, partial cds; and N protein and ORF8b genes, complete cds",28-Feb-2015,['Saudi Arabia: Riyadh'],29545,Homo sapiens,166.0,9.764705882352942
117,MT675257.1,MT675257.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_5 ORF1ab and ORF1a genes, partial cds; and S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",27-Feb-2015,['Saudi Arabia: Riyadh'],29675,Homo sapiens,246.0,9.84
118,MT675256.1,MT675256.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_4 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",25-Feb-2015,['Saudi Arabia: Riyadh'],30104,Homo sapiens,324.0,9.818181818181818
119,MT675255.1,MT675255.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_3 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",23-Feb-2015,['Saudi Arabia: Riyadh'],29898,Homo sapiens,324.0,9.818181818181818
120,MT675254.1,MT675254.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_2 ORF1ab, ORF1a, S protein, ORF3, ORF4a, and ORF4 genes, complete cds; ORF5, M protein, and N protein genes, partial cds; and ORF8b gene, complete cds",23-Feb-2015,['Saudi Arabia: Riyadh'],29474,Homo sapiens,290.0,10.0
121,MT675253.1,MT675253.1,"Middle East respiratory syndrome-related coronavirus isolate 16023_1 ORF1ab, ORF1a, S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds",18-Feb-2015,['Saudi Arabia: Riyadh'],30009,Homo sapiens,324.0,9.818181818181818
122,MT576585.1,MT576585.1,"Middle East respiratory syndrome-related coronavirus isolate MA_30, complete genome",29-JUN-2020,,30115,,354.0,9.833333333333334
123,MT387202.1,MT387202.1,"Middle East respiratory syndrome-related coronavirus isolate KNIH_002, complete genome",20-May-2015,['South Korea'],30108,Homo sapiens,324.0,9.818181818181818
124,MN481986.1,MN481986.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1764_2015, partial genome",Nov-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
125,MN481985.1,MN481985.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1769_2015, partial genome",Nov-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
126,MN481984.1,MN481984.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1757_2015, partial genome",Nov-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
127,MN481983.1,MN481983.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1758_2015, partial genome",Nov-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
128,MN481982.1,MN481982.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1760_2015, partial genome",Nov-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
129,MN481981.1,MN481981.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1737_2015, partial genome",Sep-2015,['Saudi Arabia'],29918,Homo sapiens,324.0,9.818181818181818
130,MN481980.1,MN481980.1,"Middle East respiratory syndrome-related coronavirus isolate Riyadh_1735_2015, partial genome",Sep-2015,['Saudi Arabia'],29918,Homo sapiens,312.0,9.75
