,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
16,LC654448.1,LC654448.1,"Human coronavirus HKU1 Fukushima_H821_2020 RNA, complete genome",2020,['Japan: Fukushima'],29902,Homo sapiens,305.0,152.5
17,LC654447.1,LC654447.1,"Human coronavirus HKU1 Fukushima_H815_2020 RNA, complete genome",2020,['Japan: Fukushima'],29900,Homo sapiens,327.0,163.5
18,LC687393.1,LC687393.1,"Human coronavirus HKU1 Fukushima_H519_2019 RNA, complete genome",2019,['Japan: Fukushima'],29472,Homo sapiens,0.0,
19,OL770286.1,OL770286.1,"Human coronavirus HKU1 isolate HCoV-HKU1/17-26618/WA/AU/2019, partial genome",2019,['Australia'],29851,Homo sapiens,227.0,56.75
20,OL770285.1,OL770285.1,"Human coronavirus HKU1 isolate HCoV-HKU1/17-26617/WA/AU/2019, partial genome",2019,['Australia'],29912,Homo sapiens,495.0,247.5
21,MW587043.1,MW587043.1,"Human coronavirus HKU1 isolate S0700TRZ ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1a), and hemagglutinin-esterase (HE) genes, partial cds; and surface glycoprotein (S), nonstructural protein (ORF4), envelope protein (E), membrane protein (M), nucleocapsid phosphoprotein (N), and nucleocapsid phosphoprotein 2 (N2) genes, complete cds",May-2016/Dec-2017,['China'],29681,Homo sapiens,25.0,12.5
22,LC315650.2,LC315650.2,"Human coronavirus HKU1 Tokyo/SGH-15/2014 RNA, complete genome",2014,['Japan: Tokyo'],29804,Homo sapiens,742.0,371.0
23,KY674943.1,KY674943.1,"Human coronavirus HKU1 strain N09-1605B, complete genome",2016,['USA'],29908,Homo sapiens,495.0,247.5
24,KY674942.1,KY674942.1,"Human coronavirus HKU1 strain N09-1627B, complete genome",2016,['USA'],29893,Homo sapiens,495.0,247.5
25,KY674941.1,KY674941.1,"Human coronavirus HKU1 strain N09-1663B, complete genome",2016,['USA'],29367,Homo sapiens,0.0,
26,KY674921.1,KY674921.1,"Human coronavirus HKU1 strain N08-87, complete genome",2016,['USA'],29820,Homo sapiens,0.0,
27,NC_006577.2,NC_006577.2,"Human coronavirus HKU1, complete genome",20-NOV-2020,,29926,Homo sapiens,641.0,160.25
28,MK167038.1,MK167038.1,"Human coronavirus HKU1 strain SC2521, complete genome",2017,['USA'],29921,Homo sapiens,493.0,246.5
29,KT779556.1,KT779556.1,"Human coronavirus HKU1 isolate BJ01-p9, complete genome",23-Apr-2009,['China'],29887,Homo sapiens,303.0,151.5
30,KT779555.1,KT779555.1,"Human coronavirus HKU1 isolate BJ01-p3, complete genome",23-Apr-2009,['China'],29887,Homo sapiens,303.0,151.5
31,KF686346.1,KF686346.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-12/2010, complete genome",09-Jan-2010,"['USA: Denver, CO']",29982,Homo sapiens,0.0,
32,KF686344.1,KF686344.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-15/2009, complete genome",28-Dec-2009,"['USA: Denver, CO']",29695,Homo sapiens,0.0,
33,KF686343.1,KF686343.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-13/2010, complete genome",08-Jan-2010,"['USA: Denver, CO']",29983,Homo sapiens,0.0,
34,KF686342.1,KF686342.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-11/2009, complete genome",13-Dec-2009,"['USA: Denver, CO']",29742,Homo sapiens,0.0,
35,KF686341.1,KF686341.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-10/2010, complete genome",16-Jan-2010,"['USA: Denver, CO']",29832,Homo sapiens,503.0,167.66666666666666
36,KF686340.1,KF686340.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-5/2009, complete genome",28-Nov-2009,"['USA: Denver, CO']",29923,Homo sapiens,0.0,
37,KF686345.1,KF686345.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-20/2010 genomic sequence,30-Jan-2010,"['USA: Denver, CO']",29848,Homo sapiens; sex: F; age: 11M,169.0,84.5
38,KF686339.1,KF686339.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-3/2009 genomic sequence,31-Oct-2009,"['USA: Denver, CO']",29790,Homo sapiens,0.0,
39,KF686338.1,KF686338.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-1/2005 genomic sequence,18-Feb-2005,"['USA: Denver, CO']",29536,Homo sapiens,0.0,
40,KF430202.1,KF430202.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-7/2010 genomic sequence,03-Jan-2010,"['USA: Denver, CO']",29709,Homo sapiens,0.0,
41,KF430200.1,KF430200.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-16/2010 genomic sequence,08-Jan-2010,"['USA: Denver, CO']",29628,Homo sapiens,0.0,
42,KF430199.1,KF430199.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-14/2009 genomic sequence,28-Dec-2009,"['USA: Denver, CO']",29604,Homo sapiens,0.0,
43,KF430196.1,KF430196.1,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-4/2005 genomic sequence,19-Apr-2005,"['USA: Denver, CO']",29464,Homo sapiens,0.0,
44,KF430201.1,KF430201.1,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-18/2010, complete genome",22-Jan-2010,"['USA: Denver, CO']",29934,Homo sapiens; F; 2M,226.0,37.666666666666664
45,KF850450.2,KF850450.2,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/1102/2005 genomic sequence,09-Apr-2005,['USA: Colorado'],29557,Homo sapiens,163.0,81.5
46,AY597011.2,AY597011.2,"Human coronavirus HKU1 genotype A, complete genome",27-JAN-2006,,29926,Homo sapiens,641.0,160.25
47,DQ415914.1,DQ415914.1,"Human coronavirus HKU1 strain N18 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29887,,440.0,110.0
48,DQ415913.1,DQ415913.1,"Human coronavirus HKU1 strain N17 genotype C, complete genome",30-JUN-2006,['China: Hong Kong'],29785,,315.0,157.5
49,DQ415912.1,DQ415912.1,"Human coronavirus HKU1 strain N16 genotype C, complete genome",30-JUN-2006,['China: Hong Kong'],29845,,503.0,167.66666666666666
50,DQ415911.1,DQ415911.1,"Human coronavirus HKU1 strain N15 genotype B, complete genome",30-JUN-2006,['China: Hong Kong'],29902,,305.0,152.5
51,DQ415910.1,DQ415910.1,"Human coronavirus HKU1 strain N14 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29797,,440.0,110.0
52,DQ415909.1,DQ415909.1,"Human coronavirus HKU1 strain N13 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29767,,451.0,90.2
53,DQ415908.1,DQ415908.1,"Human coronavirus HKU1 strain N11 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29947,,440.0,110.0
54,DQ415907.1,DQ415907.1,"Human coronavirus HKU1 strain N10 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29887,,440.0,110.0
55,DQ415906.1,DQ415906.1,"Human coronavirus HKU1 strain N9 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29857,,897.0,74.75
56,DQ415905.1,DQ415905.1,"Human coronavirus HKU1 strain N7 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29857,,828.0,82.8
57,DQ415904.1,DQ415904.1,"Human coronavirus HKU1 strain N6 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29295,,440.0,110.0
58,DQ415903.1,DQ415903.1,"Human coronavirus HKU1 strain N3 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29920,,543.0,90.5
59,DQ415902.1,DQ415902.1,"Human coronavirus HKU1 strain N25 genotype B, complete genome",30-JUN-2006,['China: Hong Kong'],29845,,305.0,152.5
60,DQ415901.1,DQ415901.1,"Human coronavirus HKU1 strain N24 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],30097,,440.0,110.0
61,DQ415900.1,DQ415900.1,"Human coronavirus HKU1 strain N23 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29812,,684.0,57.0
62,DQ415899.1,DQ415899.1,"Human coronavirus HKU1 strain N22 genotype C, complete genome",30-JUN-2006,['China: Hong Kong'],29905,,478.0,239.0
63,DQ415898.1,DQ415898.1,"Human coronavirus HKU1 strain N21 genotype C, complete genome",30-JUN-2006,['China: Hong Kong'],29815,,443.0,147.66666666666666
64,DQ415897.1,DQ415897.1,"Human coronavirus HKU1 strain N20 genotype C, complete genome",30-JUN-2006,['China: Hong Kong'],29845,,503.0,167.66666666666666
65,DQ415896.1,DQ415896.1,"Human coronavirus HKU1 strain N19 genotype A, complete genome",30-JUN-2006,['China: Hong Kong'],29860,,632.0,105.33333333333333
66,AY884001.1,AY884001.1,"Human coronavirus HKU1 genotype B, complete genome",30-JUN-2006,,29815,,305.0,152.5
67,DQ339101.1,DQ339101.1,"Human coronavirus HKU1 strain N5P8 genotype A/B recombinant, complete genome",30-JUN-2006,,29755,,315.0,157.5
